ACCLIVITY|오르막|sharp upslope cf.declivity|2015-03-13 오후 2:46:15
ACCOLADE|칭찬　표창　상품|award of merit|2015-03-13 오후 2:50:02
ACCOMPLICE|공범|partner in crime|2015-03-13 오후 2:50:21
ACCORD|동의|agreement|2015-03-13 오후 2:50:36
ACCOST|말을　걸다|approach and speak|2015-03-13 오후 2:52:36
ACCOUTRE|차려입히다　무장시키다|equip|2015-03-13 오후 2:53:47
CULTIVATED|교양있는|well mannered|2015-03-16 오전 10:09:34
ABASE|멸시하다|lower humiliate|2015-03-16 오전 11:17:54
ABETTOR|옹호자|encourager|2015-03-16 오전 11:20:10
ABDICATE|퇴위하다|renounce,give up|2015-03-16 오전 11:20:29
ABEYANCE|중지|suspended action|2015-03-16 오전 11:21:16
ABHOR|혐오하다|detest hate|2015-03-16 오전 11:21:50
ABJURE|맹세코 부인하다|renounce upon oath|2015-03-16 오전 11:22:41
ABLUTION|세정|washing|2015-03-16 오전 11:23:14
ABOMINATE|혐오하다|loathe,hate|2015-03-16 오전 11:23:28
ABORIGINAL|원시의|primitive,native|2015-03-16 오전 11:23:43
ABRADE|문질러 지우다|wear away by rubbing|2015-03-16 오전 11:24:44
ABORTIVE|유산의 실패의|fruitless|2015-03-16 오전 11:25:37
ABASH|창피주다|embarrass|2015-03-16 오전 11:26:02
ABROGATE|폐지하다|abolish|2015-03-16 오전 11:26:40
ABSCOND|도망(실종)하다|depart and hide|2015-03-16 오전 11:31:58
ACCRETION|증가|growth increase|2015-03-18 오후 7:07:30
ACCRUE|덧붙여생기다|add|2015-03-18 오후 7:07:47
ACETIC|맛이 신|vinegary|2015-03-18 오후 7:08:16
ACRIDULOUS|통렬한|slightly sour sharp|2015-03-18 오후 7:09:08
ACKNOWLEDGE|인정하다 승인하다|recognize admit|2015-03-18 오후 7:10:02
ACME|정점|top pinnacle|2015-03-18 오후 7:10:13
ACOUSTICS|음향학|science of sound|2015-03-18 오후 7:10:30
ACQUIESCENT|묵묵히 따르는 순응하는|accepting passively|2015-03-18 오후 7:11:16
ACQUITTAL|무죄방면| |2015-03-18 오후 7:11:36
ACRID|매운, 신랄한|bitterly pungent|2015-03-18 오후 7:12:10
ACRIMONIOUS|매서운 신랄한 표독스런|stinging caustic|2015-03-18 오후 7:13:54
ACTUARIAL|보험통계의|calculating|2015-03-18 오후 7:14:42
ACTUATE|움직이다|motivate|2015-03-18 오후 7:15:22
ACUMEN|총명|mental keenness|2015-03-18 오후 7:15:55
ADAGE|격언 속담|wise saying|2015-03-18 오후 7:16:11
ADAMANT|고집센 완고한|hard infrexible|2015-03-18 오후 7:18:02
ADAPT|적응시키다 개조하다|alter modify|2015-03-18 오후 7:18:44
ADDICTION|중독|habitual need|2015-03-18 오후 7:19:11
ADDLE|썩은|rotten|2015-03-18 오후 7:19:32
ADDUCE|예증하다|offer as example|2015-03-18 오후 7:20:00
ADEPT|능숙하다|expert at|2015-03-18 오후 7:20:18
ADHERE|점착유착고착하다|stick fast|2015-03-18 오후 7:20:56
ADIPOSE|지방질이 많은|fatty|2015-03-18 오후 7:21:14
ADJURATION|선서 간원|solemn urging|2015-03-18 오후 7:22:34
ADMONISH|훈계하다|warn reprove|2015-03-18 오후 7:23:29
ADROIT|교묘한 솜씨좋은|skillful|2015-03-18 오후 7:24:27
ADULATION|아첨|flattery|2015-03-18 오후 7:25:46
ADULTERATE|타락시키다|make impure|2015-03-18 오후 7:26:06
ADUMBRATION|윤곽을 나타내다 예시하다|foreshadowing|2015-03-18 오후 7:26:44
ADVENTITIOUS|우연의|accidental casual|2015-03-18 오후 7:27:12
ADVERSE|역의 비난의|unfavorable hostile|2015-03-18 오후 7:28:18
ADVERSITY|빈곤|poverty|2015-03-18 오후 7:29:04
ADVOCATE|옹호하다|plead for, urge|2015-03-18 오후 7:29:41
AESTHETIC|미학의|artistic|2015-03-18 오후 7:30:06
AFFECTED|변질된 영향을 받은 부자연한|artificial|2015-03-18 오후 7:31:46
AFFILIATION|가입 입회 가맹|joining|2015-03-18 오후 7:32:58
AFFINITY|인척 동족관계 유사성|kinship|2015-03-18 오후 7:33:39
AFFIRMATION|단언 주장 긍정|solemn pledge|2015-03-18 오후 7:34:22
AFFLUENCE|부유함|abundance|2015-03-18 오후 7:34:44
AFFRAY|싸움 난투|public brawl|2015-03-18 오후 7:35:27
AGAPE|입을벌려 기막히게 어이없어|open-mouthed|2015-03-18 오후 7:36:53
AGGLOMERATION|덩이짐 덩어리|collection heap|2015-03-18 오후 7:37:41
AGGRANDIZE|증가하다 강화하다|increase intensify|2015-03-18 오후 7:38:18
AGGREGATE|합계의|sum total|2015-03-18 오후 7:38:38
AGHAST|소스라치게 놀라서 겁이나서|horrified|2015-03-18 오후 7:39:20
AGILITY|민첩 예민 기민한|nimbleness|2015-03-18 오후 7:40:04
AGITATE|선동하다|stir up,disturb|2015-03-18 오후 7:40:31
AGNOSTIC|불가지론자| |2015-03-18 오후 7:40:38
ALACRITY|민활함 기민함 주저없는 선선함|cheerful promptness|2015-03-18 오후 7:46:09
ALBEIT|그럼에도 불구하고|although|2015-03-18 오후 7:46:35
ALCHEMY|연금술|medieval chemistry|2015-03-18 오후 7:47:02
ALIAS|별명으로 일명|an assumed name|2015-03-18 오후 7:50:47
ALIENATE|멀리하다 소원하다|make hostile|2015-03-18 오후 7:51:21
ALIMENTARY|음식물의 영양의 소화가 되는 소화의|nutritious|2015-03-18 오후 7:52:21
ALIMONY|별거수당 이혼비| |2015-03-18 오후 7:53:20
ALLAY|가라앉히다|calm pacify|2015-03-18 오후 7:55:17
ALLEGE|단언하다|state without proof|2015-03-18 오후 7:55:53
ALLEGORY|비유 풍유 우화|fable|2015-03-18 오후 7:56:29
ALLEVIATE|경감하다 완화하다 누그러뜨리다|relieve|2015-03-18 오후 7:57:06
ALLOCATE|할당하다|assign|2015-03-18 오후 7:57:18
ALLOY|합금|mixture of metals|2015-03-18 오후 7:57:34
ALLUDE|언급하다 암시하다|refer indirectly|2015-03-18 오후 7:58:10
PRESIDER|사회자 주재자| |2015-03-19 오전 3:42:15
ALLUSION|암시 변죽올림 인유|refer indirectly|2015-03-19 오전 3:45:17
ALLUVIAL|충적토의|alluvial gold 사금|2015-03-19 오전 3:45:55
ALOOF|멀리 떨어져 멀리서 냉담한 무관심한|apart,reserved|2015-03-19 오전 3:46:34
ALTERCATION|언쟁하다 격론하다|quarrel|2015-03-19 오전 3:47:19
ALTRUISM|이타주의| |2015-03-19 오전 3:47:52
AMALGAMATE|합성하다 결합하다|combine,unite|2015-03-19 오전 3:48:25
AMASS|긁어 모으다 축적하다 |collect|2015-03-19 오전 3:49:21
AMBIGUOUS|모호한|doubtful in meaning|2015-03-19 오전 3:49:54
AMBLE|느리게 천천히 걷다|move at an easy pace|2015-03-19 오전 3:51:00
AMBROSIA|신의 음식 신찬|food of the gods|2015-03-19 오전 3:51:29
AMBULATORY|이동하는 이동성의 유언등이 변경가능한|able to walk|2015-03-19 오전 3:53:07
AMELIORATE|개진하다 개량하다 개선하다|improve cf)deteriorate|2015-03-19 오전 3:54:23
JEER|조롱하다 야유하다|taunt|2015-03-19 오전 3:55:10
AMENABLE|충고 등에 순종하는 쾌히 받아들이는 법따위에 복종할 의무가 있는|readily managed|2015-03-19 오전 3:57:27
AMENITIES|쾌적한 설비, 예의|agreeable manners|2015-03-19 오전 3:59:57
AMIABLE|호감을 주는 붙임성 있는 친절한|agreeable lovable|2015-03-19 오전 4:00:36
AMICABLE|우호적인|friendly|2015-03-19 오전 4:05:27
AMNESIA|건망증|loss of memory|2015-03-19 오전 4:05:37
AMNESTY|은사 사면 특사|pardon|2015-03-19 오전 4:06:05
AMORPHOUS|무정형의 무조직의 특성이없는|shapeless|2015-03-19 오전 4:06:56
AMPHIBIAN|양서류의|amphibian tank 수륙양용탱크|2015-03-19 오전 4:07:23
AMPHITHEATER|원형극장|amphi=두가지 원형 주위의|2015-03-19 오전 4:09:24
AMPLE|충부한 넉넉한 다량의|more than sufficient|2015-03-19 오전 4:10:19
AMPLIFY|확대하다|enlarge|2015-03-19 오전 4:11:46
AMPUTATE|신체절단|cut off part of body|2015-03-19 오전 4:12:20
AMUCK|미친듯이 날뛰어|in a stage of rage|2015-03-19 오전 4:14:03
AMULET|부적|charm talisman|2015-03-19 오전 4:14:31
ANAESTHETIC|마취제| |2015-03-19 오전 4:14:52
ANALOGOUS|유사한 닮은 비슷한|comparable|2015-03-19 오전 4:18:38
ANALOGY|유사함|similarity,유추,homology상동|2015-03-19 오전 4:19:56
